-	KO
skilst	VEPS3
,	KC
so	DN
fer	VNPS3
tað	PPNSN
ikki	DN
at	CI
ganga	VI
so	DN
drúgv	APSFSN
tíð	SFSN
,	KC
áðrenn	C
svarini	SNPNA
koma	VNPP3
.	KE

Alt	PBNSN
hetta	PDNSN
skal	VNPS3
fáast	VE
upp	DN
á	DG
pláss	SNSA
,	KC
áðrenn	C
farið	VANSN
verður	VNPS3
undir	DG
nakað	PBNSA
nýtt	APSNSA
.	KE

Bókin	SFSNA
er	VNPS3
ein	NCFSN
av	DG
fýra	NC
,	KC
sum	CR
er	VNPS3
ætlað	VAFSN
lærugreinini	SFSDA
virkisbúskapur	SMSN
,	KC
og	C
innihaldið	SNSNA
í	DG
hesi	PDFSD
bókini	SFSDA
er	VNPS3
í	DG
høvuðsheitum	SNPD
roknskapur	SMSN
í	DG
handilsvirkjum	SNPD
og	C
framleiðsluvirkjum	SNPD
,	KC
roknskapargreining	SFSN
og	C
fíggjarætlan	SFSN
.	KE

Men	C
vøksturin	SMSNA
er	VNPS3
stórur	APSMSN
og	C
nýtslan	SFSNA
veksur	VNPS3
áleið	DN
við	DG
somu	PIFSD
ferð	SFSD
sum	C
lønarinntøkurnar	SFPNA
í	DG
samfelagnum	SNSDA
,	KC
ella	C
sum	C
tøka	APWFSN
tjóðarinntøkan	SFSNA
og	C
sum	C
lønarvøksturin	SMSNA
er	VNPS3
.	KE

Sigurð	SMSNP
Poulsen	SXP
sigur	VNPS3
tí	DN
,	KC
at	C
hann	PPMSN
hevur	VNPS3
leingi	DN
hildið	VANSN
,	KC
at	C
tað	PPNSN
er	VNPS3
neyðugt	APSNSN
at	CI
seta	VI
onkur	PBNPA
tiltøk	SNPA
í	DG
verk	SNSA
fyri	DN
at	CI
tálma	VI
gongdini	SFSDA
.	KE

-	KO
Tað	PPNSN
er	VNPS3
uttan	DG
iva	SMSA
rætt	APSNSN
,	KC
at	C
tað	PPNSN
er	VNPS3
ógvuliga	DN
ymiskt	APSNSN
,	KC
hvussu	DN
teir	PDNPN
ymsu	APWMPN
partarnir	SMPNA
í	DG
Føroyum	SFPDP
eru	VNPP3
fyri	DN
.	KE

-	KO
Men	C
tað	PPNSN
er	VNPS3
neyðugt	APSNSN
at	CI
stilla	VI
búskapin	SMSAA
eitt	PBNSA
sindur	SNSA
.	KE

Í	DG
hesum	PDNSD
sambandi	SNSD
var	VNAS3
móttøka	SFSN
í	DG
3	NO
'	KQ
aranum	X
í	DG
gjár	SXSD
,	KC
har	DN
kórið	SNSNA
setti	VNAS3
dám	SMSA
á	DN
.	KE

Tvey	NCNPN
ár	SNPN
eru	VNPP3
síðani	DN
,	KC
at	C
kórið	SNSNA
seinast	DSN
gav	VNAS3
út	DN
fløgu	SFSA
,	KC
og	C
Bjarni	SMSNP
sigur	VNPS3
,	KC
at	C
ikki	DN
nógv	APSNPN
nýggj	APSNPN
kórverk	SNPN
síggja	VNPP3
dagsins	SMSGA
ljós	SNSA
í	DG
Føroyum	SFPDP
.	KE

Tað	PPNSN
má	VNPS3
sigast	VE
at	CI
vera	VI
hugaligt	APSNSN
,	KC
at	C
Tórshavnar	SFSGP
Manskór	SNSN
er	VNPS3
so	DN
virkið	VANSN
.	KE

Seinastu	ASWMPN
dagarnir	SMPNA
hava	VNPP3
vit	PP1PN
fleiri	ACSFPA
ferðir	SFPA
hoyrt	VANSN
,	KC
at	C
ferðin	SFSNA
á	DG
føroyska	APWMSD
búskapinum	SMSDA
er	VNPS3
blivin	VAFSN
nakað	PBNSA
nógv	APSFSN
og	C
at	C
tað	PPNSN
er	VNPS3
neyugt	APSNSN
at	CI
tálma	VI
gongdini	SFSDA
,	KC
so	DN
at	C
hann	PPMSN
ikki	DN
hitnar	VNPS3
ov	DN
nógv	DN
.	KE

-	KO
So	DN
her	DN
er	VNPS3
onki	DN
at	CI
taka	VI
av	DN
,	KC
heldur	VNPS3
ikki	DN
til	DG
uppsparing	SFSA
.	KE

Ingeborg	SFSNP
Vinther	SXP
heldur	VNPS3
eisini	DN
,	KC
at	C
Fíggjarmálaráðharrin	SMSNA
skuldi	VNAS3
heldur	DCN
eisini	DN
farið	VANSN
at	CI
kanna	VI
prísvøksturin	SMSAA
seinastu	ASWFSA
tíðina	SFSAA
,	KC
síðani	DN
lønarhækkingin	SFSNA
kom	VNAS3
í	DG
gildi	SNSA
.	KE

Ritstjórnin	SFSNA
vónar	VNPS3
,	KC
at	C
bókin	SFSNA
Likestilte	F
demokratier	F
fer	VNPS3
at	CI
elva	VI
til	DG
orðaskifti	SNSA
og	C
kjak	SNSA
um	DG
evnið	SNSAA
,	KC
og	C
at	C
hon	PPFSN
gagnar	VNPS3
arbeiðinum	SNSDA
hesum	PDNSD
til	DG
frama	SMSG
eins	C
og	C
politikarum	SMPD
,	KC
tænastufólki	SNSD
sum	CR
teimum	SNPD
,	KC
ið	CR
við	DG
fullum	APSMSD
huga	SMSD
ganga	VNPP3
inn	DN
fyri	DG
javnstøðu	SFSD
.	KE

Lions	F
Club	F
setir	VNPS3
skelti	SNPA
upp	DN

Ætlanin	SFSNA
er	VNPS3
,	KC
at	C
tiltakið	SNSNA
skal	VNPS3
fremja	VI
varðveitsluna	SFSAA
av	DG
staðarnøvnum	SNPD
,	KC
ið	CR
ikki	DN
vanliga	DN
verða	VNPP3
havd	VANPN
á	DG
munni	SMSD
.	KE

Parkeringsviðurskiftini	SNPNA
eru	VNPP3
vánalig	APSNPN
við	DG
húsið	SNSAA
,	KC
og	C
tað	PPNSN
ber	VNPS3
ikki	DN
til	DN
at	CI
byggja	VI
upp	DN
í	DG
sjálvan	PIMSA
bygningin	SMSAA
har	DN
á	DG
staðnum	SNSDA
.	KE

Fimm	NCNPN
fólk	SNPN
starvast	VEPP3
á	DG
deildini	SFSDA
í	DG
Fuglafirði	SMSDP
,	KC
meðan	C
tey	PPNPN
vanliga	DN
eru	VNPP3
trý	NCNPN
í	DG
Gøtu	SFSDP
.	KE

Og	C
í	DG
flokkinum	SMSDA
,	KC
sum	CR
skal	VNPS3
byrja	VI
upp	DN
á	DG
seinna	ACWNSA
árið	SNSAA
um	C
tvær	NCFPA
vikur	SFPA
,	KC
ganga	VNPP3
4	NO
mannfólk	SNPN
og	C
20	NO
konufólk	SNSN
,	KC
so	DN
mannfólkini	SNPNA
koma	VNPP3
at	CI
rúgva	VI
lítið	DN
í	DG
teimum	PDMPD
trimum	NCMPD
flokkunum	SMPDA
á	DG
skúlanum	SMSDA
.	KE

Í	DG
fjør	SX
hevði	VNAS3
HF	TS
-	KO
skeiðið	SNSNA
í	DG
Klaksvík	SFSDP
fleiri	ACSFPA
enn	DN
30	NO
umsóknir	SFPA
,	KC
men	C
tá	DN
fingu	VNAP3
tey	PPNPN
ikki	DN
loyvi	SNSA
at	CI
gera	VI
tveir	NCMPA
flokkar	SMPA
.	KE

Nóg	DN
mikið	DN
pláss	SNSN

Hetta	PDNSN
noyddist	VEAS3
ein	PBMSN
nipin	APSMSN
ferðamaður	SMSN
at	CI
ásanna	VI
við	DG
bergholsmunnan	SMSAA
á	DG
Oyrareingum	SMSDP
gjáramorgunin	SMSAA
.	KE

Løtu	SFSA
seinni	DCN
dagar	VNPP3
blái	APWMSN
bussurin	SMSNA
undan	DN
í	DG
mótbrekkuni	SFSDA
.	KE

Hann	PPMSN
lovaði	VNAS3
,	KC
at	CI
royna	VI
at	CI
finna	VI
út	DN
av	DN
,	KC
hvør	PQMSN
orsøkin	SFSNA
var	VNAS3
til	DG
mistakið	SNSA
.	KE

Hvørji	PBNPA
orð	SNPA
Bygdaleiðir	SFPN
fingu	VNAP3
á	DG
vegnum	SMSDA
til	DG
Havnar	SFSGP
,	KC
verður	VNPS3
ikki	DN
endurgivið	VANSN
her	DN
í	DG
blaðnum	SNSDA

Avtala	SFSN
er	VNPS3
fingin	VAFSN
í	DG
lag	SNSA
við	DG
Føroya	SFPGP
Banka	SMSA
um	DG
restskuldina	SFSAA
og	C
Suðuroyar	SFSGP
Sparikassi	SMSN
hevur	VNPS3
latið	VANSN
felagnum	SNSDA
10.000	NO
krónur	SFPA
í	DG
stuðuli	SMSD
um	DG
árið	SNSAA
,	KC
sum	CR
verða	VNPP3
brúktar	VAFPN
til	DG
rentur	SFPA
og	C
avdrátt	SMSA
,	KC
so	DN
skuldin	SFSNA
í	DG
Suðuroyar	SFSGP
Sparikassa	SMSD
er	VNPS3
at	CI
kalla	VI
úti	DN
av	DG
verðini	SFSDA
.	KE

Ístaðin	DN
fyri	DN
at	C
kravt	VANSN
hana	PPFSA
á	DG
tvang	SMSA
átti	VNAS3
Landsstýrið	SNSNA
heldur	VNPS3
at	CI
stuðla	VI
henni	PPFSD
við	DG
eini	PBFSD
árligari	APSFSD
upphædd	SFSD
til	DG
viðlíkahald	SNSA
,	KC
sigur	VNPS3
Magni	SMSNP
Eidesgaard	SXP
.	KE

Við	DG
sjógv	SMSA
á	DG
bak	SNSA

Ta	PDFSA
ferðina	SFSAA
løgdu	VNAP3
49	NO
hval	SMPN
beinini	SNPAA
,	KC
og	C
skinnini	SNPNA
vóru	VNAP3
406	NO
í	DG
tali	SNSD
.	KE

Símun	SMSNP
Joensen	SXP
,	KC
stjóri	SMSN
á	DG
Fiskaaling	SFSD
,	KC
sigur	VNPS3
,	KC
at	CI
teir	PPMPN
fyrr	DCN
hava	VNPP3
havt	VANSN
avtalur	SFPA
við	DG
fleiri	ACSMPA
smáar	APSMPA
bátar	SMPA
,	KC
sum	CR
so	DN
søgdu	VNAP3
frá	DG
,	KC
tá	C
teir	PPMPN
høvdu	VNAP3
fingið	VANSN
ein	PBMSA
stóran	APSMSA
kalva	SMSA
,	KC
sum	CR
Fiskaaling	SFSN
kundi	VNAS3
brúka	VI
.	KE

Og	C
tað	PPNSN
er	VNPS3
rættiliga	DN
umstendiligt	APSNSN
.	KE

Tað	PPNSN
er	VNPS3
ikki	DN
so	DN
,	KC
at	CI
teir	PPMPN
verða	VNPP3
avtiknir	VAMPN
,	KC
tá	C
teir	PPMPN
hava	VNPP3
gýtt	VANSN
.	KE

Línuskipið	SNSNA
Skútunes	SNSN
,	KC
sum	CR
var	VNAS3
heimahoyrandi	VP
á	DG
Eiði	SNSDP
,	KC
er	VNPS3
selt	VANSN
til	DG
Fuglafjarðar	SMSGP
,	KC
og	C
eitur	VNPS3
nú	DN
Fuglfirðingur	SMSN
.	KE

Formaðurin	SMSNA
í	DG
Eigarafelagnum	SNSDA
,	KC
Niels	SMSNP
Jákup	SMSNP
Thomsen	SXP
,	KC
sigur	VNPS3
við	DG
Sosialin	SMSAA
,	KC
at	CI
tað	PPNSN
var	VNAS3
í	DG
fjør	SX
,	KC
tankin	SMSNA
kom	VNAS3
fram	DN
um	DN
at	CI
leggja	VI
hesar	PDFPA
mátturnar	SFPAA
á	DG
vøllin	SMSAA
.	KE

Tey	PDNPN
størru	ACWNPN
,	KC
tey	PDNPN
sum	C
hava	VNPP3
koyrikort	SNSA
,	KC
munnu	VNPP3
eisini	DN
fara	VI
at	CI
renna	VI
har	DN
okkurt	PBNSA
kvøldið	SNSAA
,	KC
væntar	VNPS3
hann	PPMSN
.	KE

Sáttmálanevndin	SFSNA
,	KC
ið	CR
hevur	VNPS3
staðið	VANSN
fyri	DG
arbeiðinum	SNSDA
við	DG
Hvítubók	SFSD
,	KC
vísir	VNPS3
á	DG
,	KC
at	C
ein	PBFSN
av	DG
teimum	PDFPD
fýra	NC
høvuðsleiðunum	SFPDA
millum	DG
verandi	VP
heimastýrisskipan	SFSA
og	C
fullveldi	SNSA
,	KC
nevniliga	DN
skipanin	SFSNA
»	KQ
frælsur	APSMSN
felagsskapur	SMSN
«	KQ
flytur	VNPS3
áhugan	SMSAA
burtur	DN
frá	DG
spurninginum	SMSDA
um	DG
,	KC
hvørt	C
stjórnarrættarliga	APWFSN
støða	SFSN
Føroya	SFPGP
er	VNPS3
sambærlig	APSFSN
við	DG
donsku	APWFSA
grundlógina	SFSAA
.	KE

-	KO
Jú	DI
fleiri	DCN
millumloysnir	SFPN
eru	VNPP3
,	KC
jú	DI
verri	DCN
verður	VNPS3
tað	PPNSN
at	CI
fáa	VI
eina	PBFSA
skiftistíð	SFSA
at	CI
vera	VI
eina	PBFSA
nýggja	APSFSA
byrjan	SFSA
fyri	DG
Føroyar	SFPAP
.	KE

Hann	PPMSN
vísir	VNPS3
somuleiðis	DN
á	DG
,	KC
at	C
júst	DN
hetta	PDNSN
eisini	DN
sýnir	VNPS3
okkum	PP1PA
,	KC
at	C
eini	PBFSD
tjóð	SFSD
ikki	DN
longur	DN
nýtist	VEPP3
at	CI
hava	VI
stórt	APSNSA
hernaðarligt	APSNSA
vald	SNSA
fyri	DN
at	CI
vera	VI
sjálvstøðug	APSFSN
.	KE

Tó	DN
órógvar	VNPS3
hetta	PDNSN
ikki	DN
Høgna	SMSAP
Hoydal	SMSAP
tað	PPNSN
minsta	DSN
.	KE

Í	DG
samgonguskjalinum	SNSDA
stendur	VNPS3
,	KC
at	C
virkast	VE
skal	VNPS3
fyri	DG
,	KC
at	C
barnsburðargrunnur	SMSN
verður	VNPS3
settur	VAMSN
á	DG
stovn	SMSA
fyri	DG
allar	PBMPA
partar	SMPA
á	DG
arbeiðsmarknaðinum	SMSDA
.	KE

Hetta	PDNSN
hevur	VNPS3
landsstýrismaðurin	SMSNA
ikki	DN
gjørt	VANSN
enn	DN
.	KE

-	KO
Upprunaliga	DN
skuldi	VNAS3
ALS	TS
vera	VI
ein	PBFSN
sjálvboðin	APSFSN
skipan	SFSN
millum	DG
partarnar	SMPAA
á	DG
arbeiðsmarknaðinum	SMSDA
,	KC
men	C
í	DG
síðstu	ASSFSD
løtu	SFSD
varð	VNAS3
hetta	PDNSN
broytt	VANSN
við	DG
lóg	SFSD
í	DG
tinginum	SNSDA
til	DG
eina	PBFSA
tvungna	VAFSA
skipan	SFSA
.	KE

Men	C
áðrenn	C
tað	PPNSN
kemur	VNPS3
hartil	DN
,	KC
havi	VNPS1
eg	PP1SN
skyldu	SFSA
til	DG
at	CI
kanna	VI
allar	PBMPA
aðrar	PBMPA
møguleikar	SMPA
fyrst	DSN
.	KE

-	KO
Vit	PP1PN
eru	VNPP3
til	DG
reiðar	SFSG
at	CI
fara	VI
í	DG
gongd	SFSA
aftur	DN
,	KC
nær	DN
tað	PPNSN
skal	VNPS3
vera	VI
.	KE

Spurningurin	SMSNA
var	VNAS3
,	KC
um	C
fólk	SNPN
í	DG
Undirvísingar	SNSDA
-	KO
og	C
mentamálastýrinum	SNSDA
av	DG
sínum	PPNPD
eintingum	SNPD
arbeiða	VNPP3
við	DG
málum	SNPD
,	KC
sum	CR
vit	PP1PN
í	DG
Lærarafelagnum	SNSDA
stríðast	VEPP1
um	DG
yvir	DN
um	DG
borðið	SNSAA
við	DG
Fíggjarmálastýrið	SNSAA
.	KE

Vit	PP1PN
kunnu	VNPP3
ikki	DN
halda	VI
fram	DN
við	DG
at	CI
góðtaka	VI
,	KC
at	C
sagt	VANSN
verður	VNPS3
alla	PBFSA
tíðina	SFSAA
,	KC
at	C
eingir	PBMPN
pengar	SMPN
eru	VNPP3
,	KC
tá	C
ið	C
ein	PBFSN
nýggj	APSFSN
lóg	SFSN
er	VNPS3
samtykt	VAFSN
og	C
komin	VAFSN
í	DG
gildi	SNSA
,	KC
sigur	VNPS3
Elsa	SFSNP
Birgitta	SFSNP
Petersen	SXP
.	KE

Fýra	NC
fylgjandi	VP
hóskvøld	SNSA
fara	VNPP3
ymisk	APSNPN
skapandi	VP
fólk	SNPN
at	CI
lesa	VI
upp	DN
,	KC
syngja	VI
og	CI
spæla	VI
,	KC
sýna	VI
fram	DN
og	C
annað	PBNSA
.	KE

Oddfríður	SMSNP
var	VNAS3
ímillum	DG
tey	PDNPA
fáu	APWNPA
útvaldu	VANPA
,	KC
sum	CR
sluppu	VNAP3
inn	DN
á	DG
danska	APWMSD
rithøvundaskúlanum	SMSDA
í	DG
Keypmannahavn	SFSDP
.	KE

Tað	PPNSN
serliga	APSNSN
við	DG
hesum	PDNSD
tiltaki	SNSD
er	VNPS3
,	KC
at	CI
øll	PBNPN
sum	C
skipa	VNPP3
fyri	DN
og	CI
luttaka	VNPP3
hesi	PDNPA
kvøldini	SNPAA
-	KO
listafólkini	SNPNA
,	KC
tey	PDNPN
sum	C
gera	VNPP3
kaffi	SNSA
,	KC
heingja	VNPP3
ljós	SNPA
upp	DN
og	C
gera	VNPP3
annað	PBNSA
praktiskt	APSNSA
arbeiði	SNSA
,	KC
gera	VNPP3
hetta	PDNSA
ókeypis	DN
fyri	DN
at	CI
stuðla	VI
Grímu	SFSA
.	KE

Í	DG
fyrsta	ASWNSD
umfari	SNSD
er	VNPS3
talan	SFSN
um	DG
seks	NC
børn	SNPA
í	DG
1.	NO
,	KC
2.	NO
,	KC
og	C
4.	NO
flokki	SMSD
,	KC
sum	CR
eftir	DG
skúlatíð	SFSD
fara	VNPP3
í	DG
Bridgehúsið	SNSAA
í	DG
Havn	SFSDP
,	KC
ið	CR
hýsir	VNPS3
frítíðarskúlabørnum	SNPD
.	KE

Fótbóltur	SMSN
:	KE
12.	NO
maður	SMSN
ætlar	VNPS3
at	CI
gera	VI
sítt	PENSA
til	DN
,	KC
at	C
Tórsvøllur	SMSN
fer	VNPS3
at	CI
kennast	VE
sum	C
veruligur	APSMSN
heimavøllur	SMSN
hjá	DG
landsliðnum	SNSDA

Undan	DG
dystinum	SMSDA
verður	VNPS3
møguligt	APSNSN
at	CI
fáa	VI
okkurt	PBNSA
til	DG
matna	SX
og	C
okkurt	PBNSA
leskandi	VP
í	DG
Bridgehúsinum	SNSDA
,	KC
og	C
frá	DN
klokkan	SFSNA
15.00	NO
er	VNPS3
sølubúðin	SFSNA
við	DG
Tórsvøll	SMSA
opin	APSFSN
.	KE

Veðrið	SNSNA
spælir	VNPS3
altíð	DN
við	DN
í	DG
Føroyum	SFPDP
,	KC
og	C
tað	PPNSN
hevur	VNPS3
eisini	DN
ávirkan	SFSA
á	DG
,	KC
hvussu	DN
lagið	SNSNA
er	VNPS3
á	DG
áskoðaraplássunum	SNPDA
.	KE

Tað	PPNSN
er	VNPS3
eitt	PBNSN
ómataligt	APSNSN
fall	SNSN
,	KC
tí	C
øll	PBNPN
árini	SNPAA
frammaundan	DN
hevur	VNPS3
talið	SNSNA
verið	VANSN
støðugt	DN
omanfyri	DG
20	NO
børn	SNPA
,	KC
onkuntíð	DN
eisini	DN
omanfyri	DG
30	NO
børn	SNPA
og	C
einstakar	APSFPA
ferðir	SFPA
eisini	DN
omanfyri	DG
40	NO
børn	SNPA
.	KE

-	KO
Og	C
tað	PPNSN
ber	VNPS3
ikki	DN
til	DN
at	CI
fáa	VI
fólk	SNPA
at	CI
støðast	VE
á	DG
einum	PBNSD
plássi	SNSD
,	KC
tá	C
ið	C
tað	PPNSN
bara	DN
ber	VNPS3
til	DN
at	CI
fáa	VI
arbeiði	SNSA
ein	PBMSA
,	KC
tveir	NCMPA
dagar	SMPA
um	DG
vikuna	SFSAA
.	KE

-	KO
Vit	PP1PN
,	KC
sum	CR
búgva	VNPP1
í	DG
Suðuroynni	SFSDAP
,	KC
mugu	VNPP1
sleppa	VI
at	CI
umsita	VI
okkara	PP1PG
egnu	APSNPA
viðurskifti	SNPA
.	KE

Og	C
tað	PPNSN
mugu	VNPP3
verða	VI
fleiri	ACSFPA
fráferðir	SFPA
enn	DN
nú	DN
.	KE

Kanningar	SMPN
í	DG
sambandi	SNSD
við	DG
svensku	APWFSA
0	NO
-	KO
loysnina	SFSAA
staðfesta	VNPP3
,	KC
at	C
ferðin	SFSNA
er	VNPS3
størsta	ASSNSN
álvarsmál	SNSN
í	DG
ferðsluni	SFSDA
.	KE

Hetta	PDNSN
vísa	VNPP3
kanningar	SFPN
hjá	DG
landsverkfrøðinginum	SMSDA
í	DG
90	NO
-	KO
árunum	SNPDA
.	KE

Í	DG
hesum	PDNSD
sambandi	SNSD
hevur	VNPS3
plombering	SFSN
verið	VANSN
nevnd	VAFSN
sum	C
ein	PBMSN
møguleiki	SMSN
til	DG
tess	PPNSG
at	CI
gera	VI
tað	PPNSA
ómøguligt	APSNSA
at	CI
ferðast	VE
ov	DN
skjótt	DN
í	DG
bili	SMSD
.	KE

-	KO
Spurningurin	SMSNA
um	DG
plombering	SFSA
er	VNPS3
kærkomin	APSMSN
.	KE

Tískil	DN
loysir	VNPS3
tað	PPNSN
seg	PPNSA
ikki	DN
at	CI
keypa	VI
eitt	PBNSA
annað	PBNSA
brúkt	VANSA
skip	SNSA
,	KC
men	C
neyðugt	APSNSN
er	VNPS3
heldur	DCN
at	CI
byggja	VI
nýtt	APSNSN
.	KE

-	KO
Tað	PPNSN
er	VNPS3
eitt	PBNSN
ógvuliga	DN
tungt	APSNSN
tak	SNSN
í	DG
Føroyum	SFPDP
at	CI
fara	VI
undir	DN
at	CI
byggja	VI
nýtt	APSNSA
skip	SNSA
.	KE

-	KO
Tað	PPNSN
er	VNPS3
eingin	PBMSN
trupulleiki	SMSN
at	CI
fáa	VI
fígging	SFSA
til	DG
eitt	PBNSA
nýtt	APSNSA
skip	SNSA
,	KC
men	C
trupult	APSNSN
verður	VNPS3
at	CI
gjalda	VI
hana	PPFSA
aftur	DN
.	KE

Hann	PPMSN
var	VNAS3
profetur	SMSN
,	KC
sum	C
aðrir	PBMPN
profetar	SMPN
.	KE

Vónleyst	APSNSN
.	KE

Tær	PPFPN
eru	VNPP3
setstar	VAFPN
við	DG
pallborðið	SNSAA
.	KE

misskiljingarnar	SFPNA
eru	VNPP3
nógvar	APSFPN
.	KE

Hon	PPFSN
søkti	VNAS3
inn	DN
á	DG
læknalesturin	SMSAA
,	KC
og	C
slapp	VNAS3
inn	DN
.	KE

-	KO
So	DN
skuldi	VNAS3
eg	PP1SN
velja	VI
,	KC
um	C
eg	PP1SN
vildi	VNAS1
taka	VI
eina	PBFSA
drúgva	APSFSA
útbúgving	SFSA
,	KC
sum	C
læknaútbúgvingin	SFSNA
er	VNPS3
,	KC
ella	C
um	C
eg	PP1SN
skuldi	VNAS1
velja	VI
familjuna	SFSAA
framum	DN
.	KE

Tó	DN
,	KC
ein	PBMSN
munur	SMSN
var	VNAS3
kortini	DN
,	KC
at	C
Sólmai	SFSNP
og	C
muslimski	APWMSN
maður	SMSN
hennara	PPFSG
búðu	VNAP3
heima	DN
í	DG
Føroyum	SFPDP
nøkur	PBNPA
ár	SNPA
,	KC
áðrenn	C
tey	PPNPN
fluttu	VNAP3
til	DG
Danmarkar	SNSGP
.	KE

Og	C
tær	PPFPN
gjørdust	VEAP3
»	KQ
bitnar	APSFPN
«	KQ
av	DG
islamisku	APWFSD
trúnni	SFSDA
.	KE

Amina	SFSNP
Poulsen	SXP
,	KC
Anna	SFSNP
Katrin	SFSNP
Lamhauge	SXP
og	C
Sólmai	SFSNP
Johannesen	SXP
eru	VNPP3
sannførdar	VAFPN
um	DG
,	KC
at	C
Jesus	SMSNP
ikki	DN
er	VNPS3
ella	C
var	VNAS3
sonur	SMSN
Guds	SMSGP
.	KE

Sostatt	DN
venda	VNPP3
tær	PPFPN
tríggjar	NCFPN
eisini	DN
Trýeinigheitini	SFSDA
bakið	SNSAA
.	KE

Sambært	DG
henni	PPFSD
kann	VNPS3
ongantíð	DN
vera	VI
talan	SFSN
um	DG
nakra	PBFSA
arvasynd	SFSA
.	KE

2.	NO
Bønirnar	SFPNA
til	DG
Allah	SMSAP
-	KO
minst	DSN
fimm	NC
ferður	SFPA
um	DG
dagin	SMSAA
.	KE

Leggja	VI
áherðslu	SFSA
á	DG
,	KC
hvussu	DN
stóran	APSMSA
týdning	SMSA
tað	PPNSN
hevur	VNPS3
fyri	DG
tær	PPFPA
,	KC
at	C
børn	SNPN
teirra	PPFPG
verða	VNPP3
ald	VANPN
upp	DN
í	DG
einum	PBNSD
muslimskum	APSNSD
heimi	SNSD
-	KO
í	DG
muslimskum	APSNSD
umhvørvi	SNSD
.	KE

Hann	PPMSN
er	VNPS3
hægstur	ASSMSN
,	KC
og	C
hevur	VNPS3
seinasta	ASWNSA
orðið	SNSAA
.	KE

Nógv	APSNSN
hevur	VNPS3
verið	VANSN
frammi	DN
um	DG
,	KC
at	C
serliga	DN
ungar	APSFPN
gentur	SFPN
í	DG
muslimskum	APSFPD
familjum	SFPD
verða	VNPP3
útstoyttar	VAFPN
,	KC
gera	VNPP3
tær	PDFPN
ikki	DN
júst	DN
sum	C
foreldrini	SNPNA
vilja	VNPP3
.	KE

Tøgn	SFSNA
.	KE

Tað	PPNSN
,	KC
sum	CR
vesturlendingar	SMPN
serliga	DN
tengja	VNPP3
saman	DN
við	DG
islam	SNSAA
og	C
muslimar	SMPA
,	KC
er	VNPS3
búnin	SMSNA
,	KC
kvinnurnar	SFPNA
ganga	VNPP3
í	DN
.	KE

Eisini	DN
í	DG
heimunum	SNPDA
hjá	DG
føroysku	APWMPD
muslimunum	SMPDA
.	KE

So	DN
eg	PP1SN
haldi	VNPS1
tað	PPNSA
vera	VI
í	DG
fínasta	ASSNSD
lagi	SNSD
,	KC
at	C
vit	PP1PN
krevja	VNPP3
at	CI
hava	VI
loyvi	SNSA
at	CI
ganga	VI
við	DG
turriklæði	SNSD
um	DG
høvdið	SNSAA
til	DG
arbeiðis	SNSG
,	KC
sigur	VNPS3
Amina	SFSNP
Poulsen	SXP
.	KE

At	CI
fletta	VI
seyð	SMSA
,	KC
tað	PPNSN
so	DN
stuttligt	APSNSN
er	VNPS3

Stór	APSFSN
kapping	SFSN

Heldur	DCN
gott	APSNSN
kjøt	SNSN

Men	C
tað	PPNSN
skal	VNPS3
takast	VE
við	DG
fyrivarni	SNSD
,	KC
tí	C
tað	PPNSN
er	VNPS3
eisini	DN
neyðugt	APSNSN
at	CI
passa	VI
sær	PPMSD
løgir	SNPA
til	DG
terra	SMSA
.	KE

Veðrar	SMPN
kunnu	VNPP3
verða	VNPP3
tungir	APSMPN
at	CI
tumma	VI
,	KC
tí	C
skinnið	SNSNA
situr	VNPS3
so	DN
fast	DN
.	KE

Sperðilin	SMSNA
er	VNPS3
nakað	PBNSN
fyri	DG
seg	PPMSA

Summi	PBNPN
steikja	VNPP3
eisini	DN
sperðilin	SMSAA
feskan	APSMSA
og	C
hava	VNPP3
brúna	APSFSA
sós	SFSA
afturvið	DN

Fólk	SNPN
ganga	VNPP3
kjallara	SMSA
úr	DG
kjallara	SMSD
at	CI
forvitnast	VE
og	C
práta	VI
,	KC
reypa	VI
og	C
fortelja	VI
tíðindi	SNPA
,	KC
og	C
kjakast	VE
verður	VNPS3
aftur	DN
og	C
fram	DN
um	DG
,	KC
hví	DN
ein	PBMSN
veðrur	SMSN
ella	C
eitt	PBNSN
lamb	APSNSN
hilnaðist	VNAS3
betur	DN
hjá	DG
einum	PBMSD
,	KC
enn	DN
hjá	DG
einum	PBMSD
øðrum	PBMSD
,	KC
ella	C
um	DG
,	KC
hví	DN
onkur	PBMSN
annar	PBMSN
veðrur	SMSN
ikki	DN
mundi	VNAS3
blíva	VI
so	DN
góður	APSMSN
.	KE

Tær	PDFPN
fáu	APWFPN
RAM	TS
eindirnar	SFPNA
,	KC
sum	CR
eru	VNPP3
til	DN
at	CI
fáa	VI
hendur	SFPA
á	DG
í	DG
landinum	SNSDA
enn	DN
kosta	VNPP3
nu	DN
nærum	DN
1.400	NO
krónur	SFPA
.	KE

Veruleiki	SMSN
er	VNPS3
tað	PPNSN
tó	DN
,	KC
at	C
eitt	PBNSN
standard	F
DRAM	F
-	KO
produkt	SNSN
,	KC
sum	CR
